         Sample#               E               M           <eps>             <m>             C_V        Suscept.
           37200              -8               4        -1.99559        0.998495       0.0351911      0.00461459
           37300              -8               4         -1.9956        0.998499       0.0350969      0.00460224
           37400              -8               4        -1.99561        0.998503       0.0350033      0.00458996
           37500              -8               4        -1.99563        0.998507       0.0349102      0.00457775
           37600              -8               4        -1.99564        0.998511       0.0348175       0.0045656
           37700              -8               4        -1.99565        0.998515       0.0347254      0.00455351
           37800              -8               4        -1.99566        0.998519       0.0346337      0.00454149
           37900              -8               4        -1.99567        0.998522       0.0345425      0.00452953
           38000              -8               4        -1.99568        0.998526       0.0344518      0.00451763
           38100              -8               4         -1.9957         0.99853       0.0343616      0.00450579
           38200              -8               4        -1.99534        0.998403       0.0371906      0.00491127
           38300              -8               4         -1.9953        0.998394       0.0375096      0.00492441
           38400              -8               4        -1.99531        0.998398       0.0374121      0.00491161
           38500               0               2        -1.99527         0.99839       0.0377288      0.00492469
           38600              -8              -4        -1.99497        0.998316       0.0401062      0.00506638
           38700              -8              -4        -1.99499         0.99832       0.0400028      0.00505332
           38800              -8              -4          -1.995        0.998325          0.0399      0.00504032
           38900              -8              -4        -1.99501        0.998329       0.0397977      0.00502739
           39000              -8               4        -1.99482        0.998269       0.0413286      0.00519315
           39100              -8               4        -1.99483        0.998274       0.0412232      0.00517989
           39200              -8               4        -1.99485        0.998278       0.0411183      0.00516671
           39300              -8               4        -1.99486        0.998282       0.0410139      0.00515359
           39400              -8               4        -1.99487        0.998287       0.0409101      0.00514054
           39500              -8               4        -1.99489        0.998291       0.0408068      0.00512756
           39600              -8               4         -1.9949        0.998295        0.040704      0.00511464
           39700              -8               4        -1.99491          0.9983       0.0406017      0.00510179
           39800              -8               4        -1.99492        0.998304          0.0405        0.005089
           39900              -8               4        -1.99494        0.998308       0.0403987      0.00507627
           40000              -8               4        -1.99495        0.998313        0.040298      0.00506361
           40100              -8               4        -1.99496        0.998317       0.0401978      0.00505101
           40200              -8               4        -1.99498        0.998321        0.040098      0.00503847
           40300              -8               4        -1.99499        0.998325       0.0399988        0.005026
           40400              -8               4          -1.995        0.998329          0.0399      0.00501359
           40500              -8               4        -1.99501        0.998333       0.0398017      0.00500123
           40600              -8               4        -1.99502        0.998337       0.0397039      0.00498894
           40700              -8               4        -1.99504        0.998342       0.0396066      0.00497671
           40800              -8               4        -1.99505        0.998346       0.0395098      0.00496454
           40900              -8               4        -1.99506         0.99835       0.0394134      0.00495243
           41000              -8               4        -1.99507        0.998354       0.0393175      0.00494038
           41100              -8               4        -1.99509        0.998358       0.0392221      0.00492838
           41200              -8               4         -1.9951        0.998362       0.0391271      0.00491645
           41300              -8               4        -1.99511        0.998366       0.0390326      0.00490457
           41400              -8               4        -1.99512         0.99837       0.0389386      0.00489275
           41500              -8               4        -1.99513        0.998373        0.038845      0.00488098
           41600              -8               4        -1.99514        0.998377       0.0387518      0.00486928
           41700              -8               4        -1.99516        0.998381       0.0386591      0.00485762
           41800              -8               4        -1.99512        0.998373       0.0389478       0.0048698
           41900              -8               4        -1.99513        0.998377       0.0388551       0.0048582
           42000              -8               4        -1.99514        0.998381       0.0387628      0.00484666
           42100              -8               4        -1.99515        0.998385       0.0386709      0.00483517
           42200              -8               4        -1.99517        0.998389       0.0385795      0.00482374
           42300              -8               4        -1.99518        0.998392       0.0384885      0.00481236
           42400              -8               4        -1.99519        0.998396        0.038398      0.00480103
           42500              -8               4         -1.9952          0.9984       0.0383078      0.00478976
           42600              -8              -4        -1.99521        0.998404       0.0382181      0.00477854
           42700              -8              -4        -1.99522        0.998407       0.0381288      0.00476737
           42800              -8              -4        -1.99523        0.998411         0.03804      0.00475626
           42900              -8              -4        -1.99524        0.998415       0.0379515      0.00474519
           43000              -8              -4        -1.99526        0.998419       0.0378635      0.00473418
           43100              -8              -4        -1.99527        0.998422       0.0377758      0.00472322
