             z_1            v_z1             z_2            v_z2
 -1.97592891e+03  6.28337941e+02  7.84218783e+02 -5.59039089e+01
 -2.02558702e+03  5.94419675e+02  7.40293091e+02 -1.21257714e+02
 -2.06549461e+03  5.33877910e+02  6.92803868e+02 -1.76743065e+02
 -2.09545957e+03  4.49958076e+02  6.41979713e+02 -2.19410336e+02
 -2.11533768e+03  3.47139754e+02  5.88065275e+02 -2.46987255e+02
 -2.12503324e+03  2.30900083e+02  5.31320082e+02 -2.57998919e+02
 -2.12449958e+03  1.07424487e+02  4.72017287e+02 -2.51845684e+02
 -2.11373926e+03 -1.67200083e+01  4.10442354e+02 -2.28834837e+02
 -2.09280409e+03 -1.34931611e+02  3.46891684e+02 -1.90164368e+02
 -2.06179484e+03 -2.40922433e+02  2.81671191e+02 -1.37859697e+02
 -2.02086078e+03 -3.29050582e+02  2.15094824e+02 -7.46667082e+01
 -1.97019895e+03 -3.94618131e+02  1.47483060e+02 -3.90672484e+00
 -1.91005323e+03 -4.34119242e+02  7.91613614e+01  7.06988982e+01
 -1.84071312e+03 -4.45425320e+02  1.04586054e+01  1.45225313e+02
 -1.76251242e+03 -4.27897436e+02 -5.82944948e+01  2.15751465e+02
 -1.67582756e+03 -3.82420074e+02 -1.26766984e+02  2.78567174e+02
 -1.58107581e+03 -3.11354416e+02 -1.94629258e+02  3.30369082e+02
 -1.47871327e+03 -2.18413642e+02 -2.61554650e+02  3.68435116e+02
 -1.36923269e+03 -1.08466827e+02 -3.27221003e+02  3.90768244e+02
 -1.25316107e+03  1.27182151e+01 -3.91312220e+02  3.96201946e+02
 -1.13105713e+03  1.38779546e+02 -4.53519786e+02  3.84461817e+02
 -1.00350865e+03  2.63097099e+02 -5.13544256e+02  3.56180059e+02
 -8.71129611e+02  3.79142307e+02 -5.71096690e+02  3.12862084e+02
 -7.34557234e+02  4.80822895e+02 -6.25900049e+02  2.56807011e+02
 -5.94448937e+02  5.62804632e+02 -6.77690529e+02  1.90986232e+02
 -4.51479156e+02  6.20793044e+02 -7.26218827e+02  1.18886482e+02
 -3.06336101e+02  6.51760220e+02 -7.71251342e+02  4.43256904e+01
 -1.59718444e+02  6.54104716e+02 -8.12571304e+02 -2.87486641e+01
 -1.23319544e+01  6.27736131e+02 -8.49979812e+02 -9.64680319e+01
  1.35113897e+02  5.74079870e+02 -8.83296792e+02 -1.55247108e+02
  2.81909354e+02  4.96001860e+02 -9.12361868e+02 -2.01973185e+02
  4.27347791e+02  3.97657182e+02 -9.37035130e+02 -2.34170549e+02
  5.70729113e+02  2.84270620e+02 -9.57197809e+02 -2.50131226e+02
  7.11363131e+02  1.61860714e+02 -9.72752848e+02 -2.49005192e+02
  8.48572877e+02  3.69218919e+01 -9.83625371e+02 -2.30845260e+02
  9.81697869e+02 -8.39185256e+01 -9.89763040e+02 -1.96604291e+02
  1.11009728e+03 -1.94250346e+02 -9.91136311e+02 -1.48084870e+02
  1.23315305e+03 -2.88219051e+02 -9.87738574e+02 -8.78441033e+01
  1.35027282e+03 -3.60835001e+02 -9.79586183e+02 -1.90585651e+01
  1.46089282e+03 -4.08236954e+02 -9.66718383e+02  5.46434681e+01
  1.56448055e+03 -4.27895997e+02 -9.49197114e+02  1.29373641e+02
  1.66053737e+03 -4.18749102e+02 -9.27106718e+02  2.01188880e+02
  1.74860091e+03 -3.81255274e+02 -9.00553532e+02  2.66299638e+02
  1.82824726e+03 -3.17371305e+02 -8.69665372e+02  3.21270038e+02
  1.89909301e+03 -2.30448430e+02 -8.34590926e+02  3.63199330e+02
  1.96079714e+03 -1.25055332e+02 -7.95499031e+02  3.89875092e+02
  2.01306264e+03 -6.73685695e+00 -7.52577861e+02  3.99890073e+02
  2.05563790e+03  1.18278833e+02 -7.06034025e+02  3.92716513e+02
  2.08831799e+03  2.43409189e+02 -6.56091571e+02  3.68734018e+02
  2.11094560e+03  3.62064927e+02 -6.02990905e+02  3.29209502e+02
  2.12341179e+03  4.67998027e+02 -5.46987637e+02  2.76230283e+02
  2.12565658e+03  5.55631711e+02 -4.88351347e+02  2.12593837e+02
  2.11766914e+03  6.20354975e+02 -4.27364293e+02  1.41660052e+02
  2.09948793e+03  6.58766106e+02 -3.64320046e+02  6.71737805e+01
  2.07120046e+03  6.68852334e+02 -2.99522081e+02 -6.93294191e+00
  2.03294291e+03  6.50096132e+02 -2.33282313e+02 -7.67485627e+01
  1.98489943e+03  6.03502542e+02 -1.65919600e+02 -1.38588595e+02
  1.92730129e+03  5.31546094e+02 -9.77582047e+01 -1.89190211e+02
  1.86042575e+03  4.38040105e+02 -2.91262328e+01 -2.25884557e+02
  1.78459472e+03  3.27935287e+02  3.96459432e+01 -2.46737711e+02
  1.70017323e+03  2.07058271e+02  1.08227276e+02 -2.50652814e+02
  1.60756766e+03  8.18038838e+01  1.76287639e+02 -2.37428000e+02
  1.50722378e+03 -4.12025941e+01  2.43499409e+02 -2.07767050e+02
  1.39962461e+03 -1.55455333e+02  3.09539052e+02 -1.63242227e+02
  1.28528811e+03 -2.54911555e+02  3.74088675e+02 -1.06211231e+02
  1.16476464e+03 -3.34310673e+02  4.36837556e+02 -3.96926797e+01
  1.03863438e+03 -3.89452121e+02  4.97483643e+02  3.27933177e+01
  9.07504469e+02 -4.17417204e+02  5.55735005e+02  1.07411073e+02
  7.72006125e+02 -4.16723239e+02  6.11311238e+02  1.80211897e+02
  6.32791595e+02 -3.87401864e+02  6.63944818e+02  2.47342648e+02
  4.90531012e+02 -3.30997358e+02  7.13382383e+02  3.05249227e+02
  3.45909171e+02 -2.50485084e+02  7.59385956e+02  3.50864288e+02
  1.99622237e+02 -1.50114344e+02  8.01734092e+02  3.81769233e+02
  5.23743856e+01 -3.51839582e+01  8.40222940e+02  3.96321949e+02
 -9.51255786e+01  8.82375925e+01  8.74667227e+02  3.93743531e+02
 -2.42167639e+02  2.13632663e+02  9.04901150e+02  3.74159421e+02
 -3.88043982e+02  3.34378668e+02  9.30779172e+02  3.38592782e+02
 -5.32052408e+02  4.44097846e+02  9.52176726e+02  2.88910456e+02
 -6.73499706e+02  5.36994091e+02  9.68990809e+02  2.27724377e+02
 -8.11704994e+02  6.08159066e+02  9.81140486e+02  1.58253615e+02
 -9.46002998e+02  6.53831432e+02  9.88567270e+02  8.41543731e+01
 -1.07574725e+03  6.71595492e+02  9.91235412e+02  9.32688454e+00
 -1.20031320e+03  6.60508773e+02  9.89132069e+02 -6.22905691e+01
 -1.31910124e+03  6.21151799e+02  9.82267365e+02 -1.26929653e+02
 -1.43153955e+03  5.55597429e+02  9.70674344e+02 -1.81190998e+02
 -1.53708689e+03  4.67301377e+02  9.54408813e+02 -2.22223729e+02
 -1.63523520e+03  3.60919703e+02  9.33549067e+02 -2.47876032e+02
