             x_1            v_x1             x_2            v_x2
 -2.57638565e+02 -6.52478652e+01 -4.84597110e+02 -3.86167245e+02
 -2.58354757e+02 -7.79944443e+01 -4.88451870e+02 -3.84755638e+02
 -2.59198519e+02 -9.07606948e+01 -4.92291641e+02 -3.83169638e+02
 -2.60170014e+02 -1.03539814e+02 -4.96114684e+02 -3.81410059e+02
 -2.61269336e+02 -1.16324992e+02 -4.99919267e+02 -3.79477810e+02
 -2.62496511e+02 -1.29109416e+02 -5.03703668e+02 -3.77373891e+02
 -2.63851499e+02 -1.41886273e+02 -5.07466176e+02 -3.75099392e+02
 -2.65334189e+02 -1.54648756e+02 -5.11205091e+02 -3.72655495e+02
 -2.66944404e+02 -1.67390064e+02 -5.14918726e+02 -3.70043470e+02
 -2.68681897e+02 -1.80103407e+02 -5.18605405e+02 -3.67264676e+02
 -2.70546356e+02 -1.92782011e+02 -5.22263468e+02 -3.64320563e+02
 -2.72537399e+02 -2.05419119e+02 -5.25891270e+02 -3.61212666e+02
 -2.74654578e+02 -2.18007998e+02 -5.29487181e+02 -3.57942607e+02
 -2.76897376e+02 -2.30541938e+02 -5.33049587e+02 -3.54512096e+02
 -2.79265211e+02 -2.43014260e+02 -5.36576894e+02 -3.50922925e+02
 -2.81757433e+02 -2.55418317e+02 -5.40067523e+02 -3.47176973e+02
 -2.84373328e+02 -2.67747499e+02 -5.43519917e+02 -3.43276200e+02
 -2.87112112e+02 -2.79995234e+02 -5.46932538e+02 -3.39222650e+02
 -2.89972939e+02 -2.92154994e+02 -5.50303868e+02 -3.35018446e+02
 -2.92954897e+02 -3.04220299e+02 -5.53632412e+02 -3.30665791e+02
 -2.96057009e+02 -3.16184717e+02 -5.56916697e+02 -3.26166969e+02
 -2.99278234e+02 -3.28041870e+02 -5.60155272e+02 -3.21524340e+02
 -3.02617467e+02 -3.39785437e+02 -5.63346712e+02 -3.16740338e+02
 -3.06073543e+02 -3.51409158e+02 -5.66489616e+02 -3.11817477e+02
 -3.09645230e+02 -3.62906836e+02 -5.69582607e+02 -3.06758341e+02
 -3.13331239e+02 -3.74272339e+02 -5.72624337e+02 -3.01565586e+02
 -3.17130216e+02 -3.85499608e+02 -5.75613483e+02 -2.96241940e+02
 -3.21040750e+02 -3.96582656e+02 -5.78548749e+02 -2.90790202e+02
 -3.25061369e+02 -4.07515572e+02 -5.81428869e+02 -2.85213236e+02
 -3.29190542e+02 -4.18292524e+02 -5.84252606e+02 -2.79513974e+02
 -3.33426681e+02 -4.28907764e+02 -5.87018751e+02 -2.73695412e+02
 -3.37768139e+02 -4.39355630e+02 -5.89726127e+02 -2.67760611e+02
 -3.42213217e+02 -4.49630548e+02 -5.92373586e+02 -2.61712692e+02
 -3.46760155e+02 -4.59727034e+02 -5.94960014e+02 -2.55554837e+02
 -3.51407144e+02 -4.69639701e+02 -5.97484327e+02 -2.49290284e+02
 -3.56152319e+02 -4.79363258e+02 -5.99945475e+02 -2.42922332e+02
 -3.60993762e+02 -4.88892515e+02 -6.02342441e+02 -2.36454331e+02
 -3.65929505e+02 -4.98222385e+02 -6.04674240e+02 -2.29889686e+02
 -3.70957528e+02 -5.07347886e+02 -6.06939924e+02 -2.23231852e+02
 -3.76075765e+02 -5.16264144e+02 -6.09138578e+02 -2.16484335e+02
 -3.81282098e+02 -5.24966397e+02 -6.11269323e+02 -2.09650688e+02
 -3.86574364e+02 -5.33449995e+02 -6.13331316e+02 -2.02734509e+02
 -3.91950354e+02 -5.41710404e+02 -6.15323750e+02 -1.95739442e+02
 -3.97407813e+02 -5.49743210e+02 -6.17245855e+02 -1.88669170e+02
 -4.02944445e+02 -5.57544117e+02 -6.19096896e+02 -1.81527419e+02
 -4.08557909e+02 -5.65108954e+02 -6.20876177e+02 -1.74317950e+02
 -4.14245823e+02 -5.72433673e+02 -6.22583042e+02 -1.67044563e+02
 -4.20005769e+02 -5.79514354e+02 -6.24216868e+02 -1.59711091e+02
 -4.25835284e+02 -5.86347207e+02 -6.25777076e+02 -1.52321399e+02
 -4.31731874e+02 -5.92928570e+02 -6.27263122e+02 -1.44879381e+02
 -4.37693006e+02 -5.99254917e+02 -6.28674502e+02 -1.37388962e+02
 -4.43716111e+02 -6.05322856e+02 -6.30010753e+02 -1.29854091e+02
 -4.49798590e+02 -6.11129132e+02 -6.31271449e+02 -1.22278741e+02
 -4.55937811e+02 -6.16670625e+02 -6.32456206e+02 -1.14666908e+02
 -4.62131110e+02 -6.21944359e+02 -6.33564679e+02 -1.07022608e+02
 -4.68375796e+02 -6.26947496e+02 -6.34596564e+02 -9.93498739e+01
 -4.74669149e+02 -6.31677341e+02 -6.35551596e+02 -9.16527568e+01
 -4.81008423e+02 -6.36131344e+02 -6.36429551e+02 -8.39353205e+01
