             x_1             y_1             x_2             y_2
 -5.05391286e+02 -9.23964851e+02 -2.73892978e+02 -5.48764677e+02
 -5.01666673e+02 -9.21154379e+02 -2.73737399e+02 -5.51497975e+02
 -4.97887821e+02 -9.18456426e+02 -2.73654422e+02 -5.54247424e+02
 -4.94057362e+02 -9.15872202e+02 -2.73644413e+02 -5.57011340e+02
 -4.90177956e+02 -9.13402856e+02 -2.73707700e+02 -5.59788026e+02
 -4.86252290e+02 -9.11049473e+02 -2.73844571e+02 -5.62575781e+02
 -4.82283074e+02 -9.08813079e+02 -2.74055276e+02 -5.65372899e+02
 -4.78273040e+02 -9.06694636e+02 -2.74340024e+02 -5.68177665e+02
 -4.74224943e+02 -9.04695042e+02 -2.74698986e+02 -5.70988362e+02
 -4.70141557e+02 -9.02815132e+02 -2.75132293e+02 -5.73803270e+02
 -4.66025675e+02 -9.01055677e+02 -2.75640035e+02 -5.76620664e+02
 -4.61880108e+02 -8.99417384e+02 -2.76222265e+02 -5.79438820e+02
 -4.57707680e+02 -8.97900893e+02 -2.76878993e+02 -5.82256013e+02
 -4.53511230e+02 -8.96506781e+02 -2.77610191e+02 -5.85070515e+02
 -4.49293611e+02 -8.95235558e+02 -2.78415792e+02 -5.87880603e+02
 -4.45057686e+02 -8.94087670e+02 -2.79295688e+02 -5.90684554e+02
 -4.40806326e+02 -8.93063493e+02 -2.80249732e+02 -5.93480648e+02
 -4.36542413e+02 -8.92163342e+02 -2.81277736e+02 -5.96267170e+02
 -4.32268832e+02 -8.91387461e+02 -2.82379474e+02 -5.99042409e+02
 -4.27988476e+02 -8.90736031e+02 -2.83554681e+02 -6.01804658e+02
 -4.23704240e+02 -8.90209162e+02 -2.84803052e+02 -6.04552219e+02
 -4.19419019e+02 -8.89806903e+02 -2.86124243e+02 -6.07283401e+02
 -4.15135712e+02 -8.89529231e+02 -2.87517870e+02 -6.09996521e+02
 -4.10857214e+02 -8.89376059e+02 -2.88983513e+02 -6.12689904e+02
 -4.06586417e+02 -8.89347232e+02 -2.90520712e+02 -6.15361888e+02
 -4.02326211e+02 -8.89442530e+02 -2.92128967e+02 -6.18010819e+02
 -3.98079479e+02 -8.89661666e+02 -2.93807744e+02 -6.20635056e+02
 -3.93849095e+02 -8.90004285e+02 -2.95556468e+02 -6.23232973e+02
 -3.89637927e+02 -8.90469968e+02 -2.97374528e+02 -6.25802953e+02
 -3.85448830e+02 -8.91058228e+02 -2.99261277e+02 -6.28343398e+02
 -3.81284648e+02 -8.91768515e+02 -3.01216028e+02 -6.30852723e+02
 -3.77148212e+02 -8.92600211e+02 -3.03238062e+02 -6.33329359e+02
 -3.73042337e+02 -8.93552634e+02 -3.05326620e+02 -6.35771756e+02
 -3.68969824e+02 -8.94625038e+02 -3.07480911e+02 -6.38178379e+02
 -3.64933452e+02 -8.95816612e+02 -3.09700107e+02 -6.40547715e+02
 -3.60935984e+02 -8.97126480e+02 -3.11983344e+02 -6.42878266e+02
 -3.56980160e+02 -8.98553705e+02 -3.14329727e+02 -6.45168559e+02
 -3.53068700e+02 -9.00097286e+02 -3.16738325e+02 -6.47417139e+02
 -3.49204297e+02 -9.01756158e+02 -3.19208175e+02 -6.49622573e+02
 -3.45389622e+02 -9.03529198e+02 -3.21738279e+02 -6.51783453e+02
 -3.41627318e+02 -9.05415217e+02 -3.24327610e+02 -6.53898391e+02
 -3.37919998e+02 -9.07412970e+02 -3.26975107e+02 -6.55966025e+02
 -3.34270250e+02 -9.09521148e+02 -3.29679679e+02 -6.57985017e+02
 -3.30680626e+02 -9.11738386e+02 -3.32440203e+02 -6.59954056e+02
 -3.27153650e+02 -9.14063260e+02 -3.35255529e+02 -6.61871855e+02
 -3.23691811e+02 -9.16494286e+02 -3.38124474e+02 -6.63737155e+02
 -3.20297563e+02 -9.19029925e+02 -3.41045829e+02 -6.65548724e+02
 -3.16973324e+02 -9.21668581e+02 -3.44018356e+02 -6.67305359e+02
 -3.13721475e+02 -9.24408604e+02 -3.47040789e+02 -6.69005885e+02
 -3.10544357e+02 -9.27248289e+02 -3.50111837e+02 -6.70649158e+02
 -3.07444274e+02 -9.30185875e+02 -3.53230181e+02 -6.72234061e+02
